torneo,año,jornada,local,visita,marcador,estadio,fecha,resultado
apertura,2002,1,Atlante FC,Irapuato,1-0,Estadio Azul,2001-07-20,L
apertura,2002,1,Celaya,Cruz Azul,0-2,Miguel Aleman Valdez,2001-07-20,V
apertura,2002,1,Monterrey,Pumas UNAM,1-0,BBVA Bancomer,2001-07-20,L
apertura,2002,1,Puebla,Necaxa,1-1,Cuauhtémoc,2001-07-20,X
apertura,2002,1,Toluca,León,3-1,Nemesio Díez,2001-07-20,L
apertura,2002,1,América,Pachuca,0-0,Estadio Azteca,2001-07-21,X
apertura,2002,1,Chivas Guadalajara,Reboceros de la Piedad,1-1,Estadio Akron,2001-07-21,X
apertura,2002,1,CA Morelia,Tigres UANL,3-1,Estadio Generalísimo José María Morelos y Pavón,2001-07-21,L
apertura,2002,1,Santos Laguna,Atlas Guadalajara,3-1,Nuevo Estadio Corona,2001-07-21,L
apertura,2002,2,Atlas Guadalajara,Atlante FC,2-0,Estadio Jalisco,2001-07-27,L
apertura,2002,2,Cruz Azul,Chivas Guadalajara,2-3,Estadio Azteca,2001-07-27,V
apertura,2002,2,Tigres UANL,América,2-0,Estadio Universitario de Nuevo León,2001-07-27,L
apertura,2002,2,León,Monterrey,1-0,Estadio León (Nou Camp),2001-07-28,L
apertura,2002,2,Irapuato,CA Morelia,2-4,Estadio Sergio León Chávez,2001-07-28,V
apertura,2002,2,Necaxa,Toluca,2-2,Estadio Victoria de Aguascalientes,2001-07-28,X
apertura,2002,2,Pachuca,Puebla,0-3,Estadio Miguel Hidalgo,2001-07-28,V
apertura,2002,2,Reboceros de la Piedad,Tecos,1-1,Estadio  "JUAN N. LÓPEZ",2001-07-28,X
apertura,2002,2,Pumas UNAM,Celaya,5-0,Olímpico de Universitario,2001-07-28,L
apertura,2002,3,Celaya,León,2-1,Miguel Aleman Valdez,2001-08-03,L
apertura,2002,3,Tecos,Cruz Azul,1-2,Tres de Marzo,2001-08-03,V
apertura,2002,3,Monterrey,Necaxa,1-1,BBVA Bancomer,2001-08-03,X
apertura,2002,3,Puebla,Toluca,0-0,Cuauhtémoc,2001-08-03,X
apertura,2002,3,Chivas Guadalajara,Pumas UNAM,2-2,Estadio Akron,2001-08-04,X
apertura,2002,3,CA Morelia,Atlas Guadalajara,0-3,Estadio Generalísimo José María Morelos y Pavón,2001-08-04,V
apertura,2002,3,Pachuca,Tigres UANL,1-0,Estadio Miguel Hidalgo,2001-08-04,L
apertura,2002,3,Santos Laguna,Reboceros de la Piedad,6-4,Nuevo Estadio Corona,2001-08-04,L
apertura,2002,3,América,Irapuato,1-1,Estadio Azteca,2001-09-01,X
apertura,2002,4,Atlas Guadalajara,América,0-2,Estadio Jalisco,2001-08-10,V
apertura,2002,4,Toluca,Monterrey,1-1,Nemesio Díez,2001-08-10,X
apertura,2002,4,Tigres UANL,Puebla,2-0,Estadio Universitario de Nuevo León,2001-08-10,L
apertura,2002,4,León,Chivas Guadalajara,1-2,Estadio León (Nou Camp),2001-08-11,V
apertura,2002,4,Irapuato,Pachuca,0-1,Estadio Sergio León Chávez,2001-08-11,V
apertura,2002,4,Necaxa,Celaya,2-2,Estadio Victoria de Aguascalientes,2001-08-11,X
apertura,2002,4,Reboceros de la Piedad,Atlante FC,2-2,Estadio  "JUAN N. LÓPEZ",2001-08-11,X
apertura,2002,4,Pumas UNAM,Tecos,1-2,Olímpico de Universitario,2001-08-11,V
apertura,2002,4,Cruz Azul,Santos Laguna,0-0,Estadio Azteca,2001-09-26,X
apertura,2002,5,Chivas Guadalajara,Necaxa,0-0,Estadio Akron,2001-08-14,X
apertura,2002,5,CA Morelia,Reboceros de la Piedad,2-2,Estadio Generalísimo José María Morelos y Pavón,2001-08-14,X
apertura,2002,5,Puebla,Monterrey,2-1,Cuauhtémoc,2001-08-14,L
apertura,2002,5,Pachuca,Atlas Guadalajara,2-1,Estadio Miguel Hidalgo,2001-08-14,L
apertura,2002,5,Celaya,Toluca,0-1,Miguel Aleman Valdez,2001-08-14,V
apertura,2002,5,Tigres UANL,Irapuato,2-0,Estadio Universitario de Nuevo León,2001-08-14,L
apertura,2002,5,Atlante FC,Cruz Azul,2-2,Estadio Azul,2001-08-15,X
apertura,2002,5,Tecos,León,2-1,Tres de Marzo,2001-08-15,L
apertura,2002,5,Santos Laguna,Pumas UNAM,1-0,Nuevo Estadio Corona,2001-09-11,L
apertura,2002,6,Atlas Guadalajara,Tigres UANL,0-0,Estadio Jalisco,2001-08-17,X
apertura,2002,6,Cruz Azul,CA Morelia,2-2,Estadio Azteca,2001-08-17,X
apertura,2002,6,Monterrey,Celaya,2-1,BBVA Bancomer,2001-08-17,L
apertura,2002,6,Pumas UNAM,Atlante FC,1-2,Olímpico de Universitario,2001-08-17,V
apertura,2002,6,León,Santos Laguna,4-2,Estadio León (Nou Camp),2001-08-18,L
apertura,2002,6,Irapuato,Puebla,2-3,Estadio Sergio León Chávez,2001-08-18,V
apertura,2002,6,Necaxa,Tecos,1-0,Estadio Victoria de Aguascalientes,2001-08-18,L
apertura,2002,6,Reboceros de la Piedad,América,1-1,Estadio  "JUAN N. LÓPEZ",2001-08-18,X
